Meal Name,Image URL
Beef and Mustard Pie,https://www.themealdb.com/images/media/meals/sytuqu1511553755.jpg
Beef and Oyster pie,https://www.themealdb.com/images/media/meals/wrssvt1511556563.jpg
Beef Asado,https://www.themealdb.com/images/media/meals/pkopc31683207947.jpg
Beef Caldereta,https://www.themealdb.com/images/media/meals/41cxjh1683207682.jpg
Beef Dumpling Stew,https://www.themealdb.com/images/media/meals/uyqrrv1511553350.jpg
Beef Lo Mein,https://www.themealdb.com/images/media/meals/1529444830.jpg
Beef Mechado,https://www.themealdb.com/images/media/meals/cgl60b1683206581.jpg
Beef Rendang,https://www.themealdb.com/images/media/meals/bc8v651619789840.jpg
Beef Sunday Roast,https://www.themealdb.com/images/media/meals/ssrrrs1503664277.jpg
Bistek,https://www.themealdb.com/images/media/meals/4pqimk1683207418.jpg
Bitterballen (Dutch meatballs),https://www.themealdb.com/images/media/meals/lhqev81565090111.jpg
Braised Beef Chilli,https://www.themealdb.com/images/media/meals/uuqvwu1504629254.jpg
Egyptian Fatteh,https://www.themealdb.com/images/media/meals/rlwcc51598734603.jpg
Massaman Beef curry,https://www.themealdb.com/images/media/meals/tvttqv1504640475.jpg
Moussaka,https://www.themealdb.com/images/media/meals/ctg8jd1585563097.jpg
Mulukhiyah,https://www.themealdb.com/images/media/meals/x372ug1598733932.jpg
Red Peas Soup,https://www.themealdb.com/images/media/meals/sqpqtp1515365614.jpg
Steak and Kidney Pie,https://www.themealdb.com/images/media/meals/qysyss1511558054.jpg
Szechuan Beef,https://www.themealdb.com/images/media/meals/1529443236.jpg
Traditional Croatian Goulash,https://www.themealdb.com/images/media/meals/n1hcou1628770088.jpg
